query,label,label_idx
Vấn đề đó giải quyết ra sao?,clarify,2
Mối quan hệ giữa Luật Hôn nhân và gia đình năm 2014 với Bộ luật dân sự và các luật khác có liên quan Vi  là gì?,graph,1
Họ phải làm gì?,clarify,2
Quy định có áp dụng không?,clarify,2
Ai chịu trách nhiệm theo Điều 35?,vector,0
Quy định có áp dụng không?,clarify,2
"Căn cứ vào Điều 66 và Điều 73, kết luận gì?",graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
Mối quan hệ giữa Điều 63 với Điều 7 là gì?,graph,1
Sự khác nhau giữa luật không? và Luật Hôn nhân gia đình năm 2014?,graph,1
Luật Hộ tịch năm 2014 được quy định như thế nào?,vector,0
Bên đó có trách nhiệm gì?,clarify,2
Họ phải làm gì?,clarify,2
Điều 24 quy định về vấn đề gì?,vector,0
"Theo Điều 8 và luật quy định như thế nào?, quy định nào áp dụng?",graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
Nội dung Luật hôn nhân gia đình là gì?,vector,0
Luật đó quy định như thế nào?,clarify,2
Người đó có bị xử phạt không?,clarify,2
Điều 101 liên quan đến Điều 66 ra sao?,graph,1
luật không? có hiệu lực khi nào?,vector,0
Họ phải làm gì?,clarify,2
luật quy định việc định đoạt tài sản là nhà ở được quy định như thế nào?,vector,0
Điều 11 có hiệu lực khi nào?,vector,0
Người đó có bị xử phạt không?,clarify,2
Nội dung Bộ luật Dân sự 2015 là gì?,vector,0
Điều 24 được quy định như thế nào?,vector,0
Nội dung Điều 88 là gì?,vector,0
"Căn cứ vào Điều 55 và Điều 25, kết luận gì?",graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
Điều 56 tham chiếu đến Luật Nuôi con nuôi 2010 như thế nào?,graph,1
So sánh Luật Hôn nhân gia đình và các Nghị định hướng và Bộ luật Dân sự 2015,graph,1
Bên đó có trách nhiệm gì?,clarify,2
Sự khác nhau giữa Điều 69 và luật về tố tụng dân sự?,graph,1
Điều 3 được quy định như thế nào?,vector,0
So sánh Điều 79 và luật cấm kết hôn,graph,1
Luật Hôn nhân và Gia đình 2014 được quy định như thế nào?,vector,0
Ông ấy có quyền gì?,clarify,2
Người đó có bị xử phạt không?,clarify,2
Nội dung luật về thừa kế là gì?,vector,0
Điều 9 có hiệu lực khi nào?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
Luật HNGĐ năm 2014 liên quan đến luật không? ra sao?,graph,1
"Theo luật thì quan hệ hôn nhân được xác lập từ thờ và Điều 25, quy định nào áp dụng?",graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
luật quy định những cơ quan liên quan đến Điều 31 ra sao?,graph,1
Luật đó quy định như thế nào?,clarify,2
Cơ quan đó có thẩm quyền gì?,clarify,2
Bên đó có trách nhiệm gì?,clarify,2
Ông ấy có quyền gì?,clarify,2
Điều 95 liên quan đến luật về thừa kế ra sao?,graph,1
Điều 78 tham chiếu đến Luật hôn nhân và gia đình năm 2014 như thế nào?,graph,1
Điều 10 có hiệu lực khi nào?,vector,0
Mối quan hệ giữa Luật Nuôi con nuôi 2010 với Luật Hôn nhân và Gia đình 2014 là gì?,graph,1
Họ phải làm gì?,clarify,2
Quy định có áp dụng không?,clarify,2
Quy định tại luật không phải đăng ký quyền sở hữu nói gì?,vector,0
"Theo Điều 76 và Điều 12, quy định nào áp dụng?",graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
Sự khác nhau giữa Điều 10 và Điều 38?,graph,1
Điều đó có đúng không?,clarify,2
"Theo Luật thì bạn có thể yêu cầu phía chồng cũ thự và luật nếu một mình tôi yêu cầu ly hôn thì tòa , quy định nào áp dụng?",graph,1
Người đó có bị xử phạt không?,clarify,2
Cơ quan đó có thẩm quyền gì?,clarify,2
Họ phải làm gì?,clarify,2
luật không? quy định về vấn đề gì?,vector,0
Nội dung Điều 53 là gì?,vector,0
Điều 4 có hiệu lực khi nào?,vector,0
Vấn đề đó giải quyết ra sao?,clarify,2
Luật Thi hành án dân sự tham chiếu đến luật tố tụng dân sự như thế nào?,graph,1
Luật đó quy định như thế nào?,clarify,2
"Theo Điều 73 và Luật Nuôi con nuôi 2010, quy định nào áp dụng?",graph,1
Điều đó có đúng không?,clarify,2
"Căn cứ vào Luật hôn nhân và gia đình năm 2014 quy định n và Điều 17, kết luận gì?",graph,1
Quy định tại Điều 27 nói gì?,vector,0
"Căn cứ vào Điều 53 và Điều 10, kết luận gì?",graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
Luật hôn nhân và gia đình năm 2014 quy định n được quy định như thế nào?,vector,0
Ông ấy có quyền gì?,clarify,2
luật về thừa kế quy định về vấn đề gì?,vector,0
Điều 12 quy định về vấn đề gì?,vector,0
Quy định có áp dụng không?,clarify,2
Bên đó có trách nhiệm gì?,clarify,2
Nội dung Điều 84 là gì?,vector,0
Mối quan hệ giữa Điều 3 với luật bảo vệ theo quy định tại Bộ luật Dân sự  là gì?,graph,1
Bên đó có trách nhiệm gì?,clarify,2
Quy định có áp dụng không?,clarify,2
luật công nhận tham chiếu đến luật thì quan hệ hôn nhân được xác lập từ thờ như thế nào?,graph,1
Điều 77 có hiệu lực khi nào?,vector,0
So sánh luật bảo vệ theo quy định tại Bộ luật Dân sự  và Điều 116,graph,1
Ông ấy có quyền gì?,clarify,2
Nội dung Điều 69 là gì?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
Điều đó có đúng không?,clarify,2
"Căn cứ vào luật không quy định và các bên không có thỏa  và Điều 55, kết luận gì?",graph,1
Mối quan hệ giữa luật tố tụng dân sự với Điều 82 là gì?,graph,1
Luật đó quy định như thế nào?,clarify,2
luật về tố tụng dân sự có hiệu lực khi nào?,vector,0
Điều 77 được quy định như thế nào?,vector,0
Cho tôi biết về Bộ luật dân sự và các luật khác có liên quan Vi ,vector,0
Điều 53 được quy định như thế nào?,vector,0
So sánh luật quy định vấn đề này như thế nào? và luật cấm kết hôn,graph,1
Điều 15 tham chiếu đến Điều 16 như thế nào?,graph,1
Ai chịu trách nhiệm theo Điều 70?,vector,0
Vấn đề đó giải quyết ra sao?,clarify,2
Luật Hộ tịch năm 2014 tham chiếu đến Điều 59 như thế nào?,graph,1
Điều 84 liên quan đến Điều 5 ra sao?,graph,1
"Theo Luật hôn nhân gia đình và Luật HNGĐ, quy định nào áp dụng?",graph,1
Quy định tại Điều 10 nói gì?,vector,0
Điều 29 được quy định như thế nào?,vector,0
Điều đó có đúng không?,clarify,2
Ai chịu trách nhiệm theo Điều 73?,vector,0
Cho tôi biết về Điều 17,vector,0
Nội dung Luật nuôi con nuôi là gì?,vector,0
Người đó có bị xử phạt không?,clarify,2
Ai chịu trách nhiệm theo luật về thừa kế?,vector,0
Ông ấy có quyền gì?,clarify,2
Điều 32 quy định về vấn đề gì?,vector,0
Luật hôn nhân và gia đình năm 2014 quy định về vấn đề gì?,vector,0
"Căn cứ vào Luật Hôn nhân gia đình năm 2014 và Luật Cư trú 2006, kết luận gì?",graph,1
Quy định tại luật Hôn nhân và Gia đình 2014 nói gì?,vector,0
Cho tôi biết về Luật Luật Hôn nhân và gia đình năm 2014 đã qu,vector,0
Quy định tại Điều 52 nói gì?,vector,0
"Căn cứ vào Điều 104 và luật về thừa kế, kết luận gì?",graph,1
Luật thì bạn có thể yêu cầu phía chồng cũ thự tham chiếu đến Luật Thi hành án dân sự như thế nào?,graph,1
luật không quy định và các bên không có thỏa  liên quan đến luật về thừa kế ra sao?,graph,1
Điều 74 có hiệu lực khi nào?,vector,0
Quy định tại Luật HNGĐ và pháp luật về hộ tịch nói gì?,vector,0
"Căn cứ vào Điều 90 và Điều 82, kết luận gì?",graph,1
Nội dung Điều 10 là gì?,vector,0
Điều đó có đúng không?,clarify,2
Cho tôi biết về Luật HNGĐ năm 2014,vector,0
Quy định có áp dụng không?,clarify,2
Sự khác nhau giữa Bộ luật Dân sự 2015 và luật được quy định như thế nào??,graph,1
Cho tôi biết về luật quy định những cơ quan,vector,0
Ai chịu trách nhiệm theo Điều 52?,vector,0
luật quy định những cơ quan tham chiếu đến Điều 38 như thế nào?,graph,1
Mối quan hệ giữa Điều 52 với Điều 15 là gì?,graph,1
Họ phải làm gì?,clarify,2
Bên đó có trách nhiệm gì?,clarify,2
"Theo Điều 7 và Điều 78, quy định nào áp dụng?",graph,1
Mối quan hệ giữa Điều 79 với Điều 63 là gì?,graph,1
Ai chịu trách nhiệm theo Điều 78?,vector,0
Điều 90 liên quan đến Luật hôn nhân và  gia đình và các luật liên q ra sao?,graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
"Theo Điều 74 và luật thì sau khi ly hôn, quy định nào áp dụng?",graph,1
"Căn cứ vào Luật hôn nhân và gia đình năm 2014 quy định n và luật về thừa kế, kết luận gì?",graph,1
Quy định có áp dụng không?,clarify,2
Vấn đề đó giải quyết ra sao?,clarify,2
Ai chịu trách nhiệm theo Điều 75?,vector,0
Quy định có áp dụng không?,clarify,2
Nội dung luật chỉ cấm kết hôn đối với những người mất  là gì?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
Sự khác nhau giữa Luật Hôn nhân gia đình 2014 và Luật Nuôi con nuôi 2010?,graph,1
luật thì không có giá trị pháp lý quy định về vấn đề gì?,vector,0
So sánh Điều 31 và Luật Hôn nhân và Gia đình,graph,1
Người đó có bị xử phạt không?,clarify,2
Sự khác nhau giữa Luật Luật Hôn nhân và gia đình năm 2014 đã qu và luật nào để tôi có thể yêu cầu gia đình chồng?,graph,1
Ai chịu trách nhiệm theo luật cấm kết hôn?,vector,0
Điều 16 liên quan đến luật tố tụng dân sự ra sao?,graph,1
Cho tôi biết về Điều 4,vector,0
Ông ấy có quyền gì?,clarify,2
Bên đó có trách nhiệm gì?,clarify,2
Luật Luật Hôn nhân và gia đình năm 2014 đã qu liên quan đến Luật hôn nhân và gia đình năm 2014 quy định n ra sao?,graph,1
"Theo Luật HNGĐ năm 2000? và Điều 52, quy định nào áp dụng?",graph,1
luật giữa anh A và chị C có hiệu lực khi nào?,vector,0
Luật đó quy định như thế nào?,clarify,2
Điều 56 liên quan đến Luật Cư trú 2006 ra sao?,graph,1
Điều đó có đúng không?,clarify,2
Luật đó quy định như thế nào?,clarify,2
Điều 101 tham chiếu đến Điều 55 như thế nào?,graph,1
Điều 84 liên quan đến Luật Luật Hôn nhân và gia đình năm 2014 đã qu ra sao?,graph,1
Người đó có bị xử phạt không?,clarify,2
Nội dung Điều 4 là gì?,vector,0
luật bảo vệ theo quy định tại Điều 133 Bộ luậ được quy định như thế nào?,vector,0
Quy định tại Luật HNGĐ năm 2000? nói gì?,vector,0
So sánh Điều 79 và Điều 55,graph,1
Họ phải làm gì?,clarify,2
Nội dung Luật Cư trú là gì?,vector,0
Họ phải làm gì?,clarify,2
Luật Hôn nhân gia đình 2014 liên quan đến Điều 16 ra sao?,graph,1
Cho tôi biết về luật nếu một mình tôi yêu cầu ly hôn thì tòa ,vector,0
luật về thừa kế tham chiếu đến luật thì quan hệ hôn nhân được xác lập từ thờ như thế nào?,graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
Luật HNGĐ và pháp luật về hộ tịch được quy định như thế nào?,vector,0
Mối quan hệ giữa luật nào để tôi có thể yêu cầu gia đình chồng với Điều 70 là gì?,graph,1
Họ phải làm gì?,clarify,2
Vấn đề đó giải quyết ra sao?,clarify,2
Người đó có bị xử phạt không?,clarify,2
"Theo Luật Hôn nhân gia đình và các Nghị định hướng và luật về tố tụng dân sự, quy định nào áp dụng?",graph,1
Người đó có bị xử phạt không?,clarify,2
luật về kết hôn được quy định như thế nào?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
luật bảo vệ liên quan đến Luật Hộ tịch năm 2014 ra sao?,graph,1
Ông ấy có quyền gì?,clarify,2
Vấn đề đó giải quyết ra sao?,clarify,2
Điều 24 tham chiếu đến Luật Hôn nhân gia đình 2014 như thế nào?,graph,1
Ai chịu trách nhiệm theo Luật Thi hành án dân sự?,vector,0
So sánh luật giữa anh A và chị C và luật công nhận và làm bằng chứng quan hệ cha ,graph,1
Họ phải làm gì?,clarify,2
Điều 15 có hiệu lực khi nào?,vector,0
Điều đó có đúng không?,clarify,2
Nội dung Luật thì bạn có thể yêu cầu phía chồng cũ thự là gì?,vector,0
Ông ấy có quyền gì?,clarify,2
Cơ quan đó có thẩm quyền gì?,clarify,2
Vấn đề đó giải quyết ra sao?,clarify,2
Điều 89 liên quan đến Điều 73 ra sao?,graph,1
Quy định có áp dụng không?,clarify,2
Cho tôi biết về luật chỉ cấm kết hôn đối với những người mất ,vector,0
luật công nhận quy định về vấn đề gì?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
"Theo Luật Thi hành tạm giữ và Điều 14, quy định nào áp dụng?",graph,1
Cho tôi biết về luật cấm kết hôn,vector,0
Quy định tại Điều 38 nói gì?,vector,0
Cho tôi biết về Điều 25,vector,0
Điều 91 liên quan đến luật quy định vấn đề này như thế nào? ra sao?,graph,1
Luật Nuôi con nuôi 2010 liên quan đến Luật hôn nhân gia đình ra sao?,graph,1
Nội dung Điều 73 là gì?,vector,0
Họ phải làm gì?,clarify,2
"Theo Luật HNGĐ và Điều 116, quy định nào áp dụng?",graph,1
Mối quan hệ giữa luật Hôn nhân và Gia đình 2014 với Điều 10 là gì?,graph,1
"Căn cứ vào Luật Cư trú và luật được quy định như thế nào?, kết luận gì?",graph,1
So sánh luật bảo vệ theo quy định tại Điều 133 Bộ luậ và Luật hôn nhân và gia đình năm 2014,graph,1
Điều 3 liên quan đến Luật Hôn nhân gia đình 2014 ra sao?,graph,1
Điều 17 liên quan đến Điều 101 ra sao?,graph,1
Mối quan hệ giữa Luật HNGĐ với Điều 10 là gì?,graph,1
Luật HNGĐ năm 2000 tham chiếu đến Điều 88 như thế nào?,graph,1
Điều 51 được quy định như thế nào?,vector,0
"Căn cứ vào luật quy định như thế nào? và Điều 71, kết luận gì?",graph,1
luật được quy định như thế nào? có hiệu lực khi nào?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
So sánh luật tố tụng dân sự và luật quy định về vấn đề này như thế nào?,graph,1
"Theo Điều 33 và Điều 91, quy định nào áp dụng?",graph,1
Bên đó có trách nhiệm gì?,clarify,2
"Căn cứ vào luật bảo vệ theo quy định tại Điều 133 Bộ luậ và Luật Hôn nhân gia đình năm 2014, kết luận gì?",graph,1
Nội dung Điều 59 là gì?,vector,0
Sự khác nhau giữa luật thì M đã đủ tuổi kết hôn chưa? Việc bố m và luật nào để tôi có thể yêu cầu gia đình chồng?,graph,1
Điều 31 có hiệu lực khi nào?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
Điều đó có đúng không?,clarify,2
Cơ quan đó có thẩm quyền gì?,clarify,2
Điều đó có đúng không?,clarify,2
Nội dung Luật HNGĐ năm 2014 có gì mới so với quy định  là gì?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
Nội dung Điều 51 là gì?,vector,0
Luật đó quy định như thế nào?,clarify,2
"Căn cứ vào Điều 70 và Luật Hôn nhân và Gia đình, kết luận gì?",graph,1
luật thì không có giá trị pháp lý được quy định như thế nào?,vector,0
Luật hôn nhân và gia đình năm 2014 quy định n được quy định như thế nào?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
Điều 12 có hiệu lực khi nào?,vector,0
Quy định tại Luật hôn nhân và gia đình nói gì?,vector,0
Luật hôn nhân và gia đình năm 2014 có hiệu lực khi nào?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
Quy định tại Luật HNGĐ năm 2014 có gì mới so với quy định  nói gì?,vector,0
Luật đó quy định như thế nào?,clarify,2
"Căn cứ vào Điều 66 và luật công nhận không?, kết luận gì?",graph,1
Điều 91 liên quan đến luật công nhận không? ra sao?,graph,1
Luật HNGĐ năm 2000 quy định về vấn đề gì?,vector,0
Ai chịu trách nhiệm theo Điều 77?,vector,0
Quy định có áp dụng không?,clarify,2
Nội dung Điều 55 là gì?,vector,0
Điều 29 có hiệu lực khi nào?,vector,0
Bên đó có trách nhiệm gì?,clarify,2
Quy định có áp dụng không?,clarify,2
So sánh Điều 10 và Bộ luật Dân sự 2015,graph,1
Luật Hôn nhân và Gia đình năm 2014 được quy định như thế nào?,vector,0
Nội dung Điều 59 là gì?,vector,0
Điều 84 tham chiếu đến Điều 31 như thế nào?,graph,1
Quy định tại Điều 3 nói gì?,vector,0
Điều 42 liên quan đến Điều 89 ra sao?,graph,1
Họ phải làm gì?,clarify,2
Luật đó quy định như thế nào?,clarify,2
Cho tôi biết về Điều 32,vector,0
Người đó có bị xử phạt không?,clarify,2
Họ phải làm gì?,clarify,2
Ai chịu trách nhiệm theo luật bảo vệ theo quy định tại Điều 133 Bộ luậ?,vector,0
"Căn cứ vào Luật HNGĐ và Điều 29, kết luận gì?",graph,1
Ai chịu trách nhiệm theo Điều 12?,vector,0
Điều 8 tham chiếu đến Luật Cư trú như thế nào?,graph,1
Họ phải làm gì?,clarify,2
Vấn đề đó giải quyết ra sao?,clarify,2
Cơ quan đó có thẩm quyền gì?,clarify,2
Mối quan hệ giữa Điều 15 với Điều 79 là gì?,graph,1
Điều 43 liên quan đến Điều 70 ra sao?,graph,1
So sánh Luật Hôn nhân gia đình năm 2014 và Điều 91,graph,1
Ông ấy có quyền gì?,clarify,2
Quy định tại luật bảo vệ theo quy định tại Điều 133 Bộ luậ nói gì?,vector,0
Cho tôi biết về Điều 104,vector,0
Điều đó có đúng không?,clarify,2
"Theo luật và thỏa thuận xong các vấn đề tài sản và Bộ luật dân sự và các luật khác có liên quan Vi , quy định nào áp dụng?",graph,1
Điều 38 quy định về vấn đề gì?,vector,0
Luật đó quy định như thế nào?,clarify,2
Luật Luật Hôn nhân và gia đình năm 2014 đã qu tham chiếu đến Điều 91 như thế nào?,graph,1
Sự khác nhau giữa luật bảo vệ theo quy định tại Bộ luật Dân sự  và Điều 77?,graph,1
Quy định tại Điều 105 nói gì?,vector,0
Ai chịu trách nhiệm theo Luật Cư trú 2006?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
Người đó có bị xử phạt không?,clarify,2
"Căn cứ vào Điều 51 và Điều 81, kết luận gì?",graph,1
Luật Hôn nhân gia đình và các Nghị định hướng được quy định như thế nào?,vector,0
Sự khác nhau giữa Điều 82 và luật về tố tụng dân sự?,graph,1
