query,label,label_idx
Sự khác nhau giữa Điều 85 và luật hôn nhân gia đình năm 2014?,graph,1
Cho tôi biết về Điều 17,vector,0
"Căn cứ vào Điều 14 và Điều 32, kết luận gì?",graph,1
Người đó có bị xử phạt không?,clarify,2
Cho tôi biết về Luật thì bạn có thể yêu cầu phía chồng cũ thự,vector,0
So sánh Điều 12 và luật công nhận không?,graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
luật không? quy định về vấn đề gì?,vector,0
Ai chịu trách nhiệm theo luật cấm kết hôn?,vector,0
Quy định có áp dụng không?,clarify,2
Luật Hôn nhân và gia đình quy định về vấn đề gì?,vector,0
Họ phải làm gì?,clarify,2
Điều 84 có hiệu lực khi nào?,vector,0
Nội dung Điều 24 là gì?,vector,0
Điều 17 quy định về vấn đề gì?,vector,0
luật được quy định như thế nào? có hiệu lực khi nào?,vector,0
Điều 79 tham chiếu đến Luật hôn nhân và gia đình năm 2014 quy định n như thế nào?,graph,1
Sự khác nhau giữa Điều 70 và Điều 4?,graph,1
Quy định tại luật công nhận không? nói gì?,vector,0
Điều 63 quy định về vấn đề gì?,vector,0
Ai chịu trách nhiệm theo Điều 73?,vector,0
Mối quan hệ giữa Luật hôn nhân gia đình với Luật HNGĐ năm 2000? là gì?,graph,1
luật không quy định và các bên không có thỏa  quy định về vấn đề gì?,vector,0
Quy định tại Bộ luật dân sự và các quy định khác của pháp luậ nói gì?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
"Căn cứ vào luật không? và Luật Hôn nhân và Gia đình 2014, kết luận gì?",graph,1
Luật Hộ tịch năm 2014 được quy định như thế nào?,vector,0
Bên đó có trách nhiệm gì?,clarify,2
Mối quan hệ giữa Bộ luật Dân sự 2015 với luật hôn nhân gia đình năm 2014 là gì?,graph,1
luật không? có hiệu lực khi nào?,vector,0
Mối quan hệ giữa Điều 31 với luật thì sau khi ly hôn là gì?,graph,1
Quy định tại Điều 90 nói gì?,vector,0
Điều đó có đúng không?,clarify,2
Nội dung luật vẫn cho phép chủ sở hữu được quyền định  là gì?,vector,0
Luật đó quy định như thế nào?,clarify,2
Cơ quan đó có thẩm quyền gì?,clarify,2
Bên đó có trách nhiệm gì?,clarify,2
So sánh Điều 95 và Điều 70,graph,1
Điều 24 quy định về vấn đề gì?,vector,0
Luật hôn nhân gia đình có hiệu lực khi nào?,vector,0
Vấn đề đó giải quyết ra sao?,clarify,2
Vấn đề đó giải quyết ra sao?,clarify,2
Cho tôi biết về luật thì sau khi ly hôn,vector,0
Quy định tại luật thì M đã đủ tuổi kết hôn chưa? Việc bố m nói gì?,vector,0
Vấn đề đó giải quyết ra sao?,clarify,2
Ai chịu trách nhiệm theo Luật Hôn nhân và Gia đình năm 2014?,vector,0
Sự khác nhau giữa luật hôn nhân gia đình năm 2014 và Điều 43?,graph,1
So sánh Luật nuôi con nuôi và Điều 12,graph,1
So sánh Điều 35 và Điều 104,graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
Bên đó có trách nhiệm gì?,clarify,2
"Theo Luật Hôn nhân và Gia đình năm 2014 và Điều 69, quy định nào áp dụng?",graph,1
Luật đó quy định như thế nào?,clarify,2
Quy định tại Luật HNGĐ năm 2000? nói gì?,vector,0
Ông ấy có quyền gì?,clarify,2
Mối quan hệ giữa Điều 53 với Luật HNGĐ năm 2000? là gì?,graph,1
Luật đó quy định như thế nào?,clarify,2
Mối quan hệ giữa Điều 79 với Luật Hôn nhân và Gia đình 2014 là gì?,graph,1
luật quy định vấn đề này như thế nào? được quy định như thế nào?,vector,0
Luật đó quy định như thế nào?,clarify,2
So sánh Điều 105 và Điều 74,graph,1
Điều 78 liên quan đến luật Hôn nhân và Gia đình 2014 ra sao?,graph,1
Cho tôi biết về Điều 25,vector,0
"Theo Luật HNGĐ và Điều 5, quy định nào áp dụng?",graph,1
Mối quan hệ giữa luật quy định như thế nào? với Điều 91 là gì?,graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
Điều đó có đúng không?,clarify,2
Ông ấy có quyền gì?,clarify,2
Sự khác nhau giữa Điều 8 và luật công nhận?,graph,1
Quy định tại Luật HNGĐ năm 2000 nói gì?,vector,0
Điều 3 tham chiếu đến luật không phải đăng ký quyền sở hữu như thế nào?,graph,1
"Căn cứ vào Điều 76 và Điều 35, kết luận gì?",graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
"Căn cứ vào Điều 42 và Điều 95, kết luận gì?",graph,1
Điều đó có đúng không?,clarify,2
Quy định tại Điều 51 nói gì?,vector,0
Nội dung Điều 27 là gì?,vector,0
Quy định tại luật tố tụng dân sự nói gì?,vector,0
Điều 73 liên quan đến luật công nhận và làm bằng chứng quan hệ cha  ra sao?,graph,1
Điều 95 liên quan đến luật quy định những trường hợp nào thì hạn ch ra sao?,graph,1
Người đó có bị xử phạt không?,clarify,2
Sự khác nhau giữa Điều 24 và Điều 73?,graph,1
Luật hôn nhân và gia đình có hiệu lực khi nào?,vector,0
Nội dung luật về tố tụng dân sự là gì?,vector,0
Luật HNGĐ năm 2000 tham chiếu đến Điều 10 như thế nào?,graph,1
Cho tôi biết về Điều 70,vector,0
Ai chịu trách nhiệm theo Luật hôn nhân và gia đình năm 2014 quy định n?,vector,0
Điều 7 có hiệu lực khi nào?,vector,0
Luật nuôi con nuôi quy định về vấn đề gì?,vector,0
Cho tôi biết về Điều 71,vector,0
Nội dung Điều 63 là gì?,vector,0
Luật đó quy định như thế nào?,clarify,2
Luật hôn nhân và gia đình năm 2014 quy định n quy định về vấn đề gì?,vector,0
"Theo Điều 55 và Luật HNGĐ năm 2000?, quy định nào áp dụng?",graph,1
Ai chịu trách nhiệm theo Điều 56?,vector,0
Sự khác nhau giữa Điều 10 và Điều 84?,graph,1
Bên đó có trách nhiệm gì?,clarify,2
Luật Hôn nhân gia đình năm 2014 tham chiếu đến luật cấm kết hôn như thế nào?,graph,1
Mối quan hệ giữa Điều 24 với luật giữa anh A và chị C là gì?,graph,1
"Căn cứ vào luật thì quan hệ hôn nhân được xác lập từ thờ và Luật Hôn nhân và Gia đình, kết luận gì?",graph,1
Nội dung Điều 71 là gì?,vector,0
Sự khác nhau giữa Điều 78 và luật về tố tụng dân sự?,graph,1
Điều 38 quy định về vấn đề gì?,vector,0
Điều 3 liên quan đến Luật hôn nhân và gia đình ra sao?,graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
Nội dung Luật Hôn nhân và Gia đình 2014 là gì?,vector,0
"Căn cứ vào Điều 88 và Điều 12, kết luận gì?",graph,1
Mối quan hệ giữa Điều 15 với Luật hôn nhân và  gia đình và các luật liên q là gì?,graph,1
Điều đó có đúng không?,clarify,2
Luật đó quy định như thế nào?,clarify,2
"Căn cứ vào Luật HNGĐ năm 2014 và Điều 5, kết luận gì?",graph,1
Quy định có áp dụng không?,clarify,2
"Căn cứ vào Luật hôn nhân và  gia đình và các luật liên q và luật quy định việc định đoạt tài sản là nhà ở, kết luận gì?",graph,1
Ông ấy có quyền gì?,clarify,2
"Căn cứ vào Điều 88 và Luật hôn nhân và gia đình năm 2014, kết luận gì?",graph,1
Sự khác nhau giữa Điều 77 và Điều 91?,graph,1
"Theo Điều 25 và Luật HNGĐ và pháp luật về hộ tịch, quy định nào áp dụng?",graph,1
Ông ấy có quyền gì?,clarify,2
Cho tôi biết về Điều 32,vector,0
Vấn đề đó giải quyết ra sao?,clarify,2
"Theo Điều 51 và luật công nhận, quy định nào áp dụng?",graph,1
Luật hôn nhân và gia đình năm 2014 quy định n có hiệu lực khi nào?,vector,0
Người đó có bị xử phạt không?,clarify,2
So sánh Điều 104 và Luật HNGĐ năm 2014 có gì mới so với quy định ,graph,1
"Theo luật xác định là người mất năng lực hành vi d và luật vẫn cho phép chủ sở hữu được quyền định , quy định nào áp dụng?",graph,1
Sự khác nhau giữa Luật HNGĐ năm 2000 và luật và thỏa thuận xong các vấn đề tài sản?,graph,1
"Theo Luật hôn nhân và gia đình và Bộ luật dân sự và các luật khác có liên quan Vi , quy định nào áp dụng?",graph,1
Ai chịu trách nhiệm theo Luật Hộ tịch năm 2014?,vector,0
Nội dung luật xác định là người mất năng lực hành vi d là gì?,vector,0
Vấn đề đó giải quyết ra sao?,clarify,2
Sự khác nhau giữa Điều 42 và luật nào để tôi có thể yêu cầu gia đình chồng?,graph,1
Quy định tại Luật Hôn nhân và gia đình 2014 nói gì?,vector,0
Cho tôi biết về Luật Nuôi con nuôi 2010,vector,0
Mối quan hệ giữa Điều 22 với Điều 51 là gì?,graph,1
So sánh Điều 35 và Luật HNGĐ năm 2014,graph,1
Điều 2 có hiệu lực khi nào?,vector,0
"Căn cứ vào Luật Cư trú và Luật HNGĐ năm 2000?, kết luận gì?",graph,1
Quy định tại Luật Cư trú 2006 nói gì?,vector,0
Luật đó quy định như thế nào?,clarify,2
"Căn cứ vào luật Hôn nhân và Gia đình 2014 và Luật thì bạn có thể yêu cầu phía chồng cũ thự, kết luận gì?",graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
So sánh luật hôn nhân gia đình năm 2014 và luật thì không có giá trị pháp lý,graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
Luật Luật Hôn nhân và gia đình năm 2014 đã qu quy định về vấn đề gì?,vector,0
Vấn đề đó giải quyết ra sao?,clarify,2
Điều 56 có hiệu lực khi nào?,vector,0
Sự khác nhau giữa Điều 33 và Điều 14?,graph,1
"Căn cứ vào Luật hôn nhân và  gia đình và các luật liên q và Luật Hôn nhân và gia đình 2014, kết luận gì?",graph,1
Nội dung luật vẫn cho phép chủ sở hữu được quyền định  là gì?,vector,0
Ai chịu trách nhiệm theo Điều 24?,vector,0
"Theo Điều 76 và Điều 63, quy định nào áp dụng?",graph,1
Quy định tại Điều 66 nói gì?,vector,0
"Căn cứ vào Luật HNGĐ năm 2000? và Luật hôn nhân và gia đình năm 2014, kết luận gì?",graph,1
Người đó có bị xử phạt không?,clarify,2
Điều đó có đúng không?,clarify,2
Mối quan hệ giữa Điều 33 với luật về tố tụng dân sự là gì?,graph,1
Cho tôi biết về Điều 101,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
Luật đó quy định như thế nào?,clarify,2
Mối quan hệ giữa luật thì quan hệ hôn nhân được xác lập từ thờ với luật vẫn cho phép chủ sở hữu được quyền định  là gì?,graph,1
"Theo Luật Cư trú và Điều 10, quy định nào áp dụng?",graph,1
Luật Hôn nhân và gia đình liên quan đến luật hôn nhân gia đình năm 2014 ra sao?,graph,1
Quy định có áp dụng không?,clarify,2
Luật Hộ tịch năm 2014 quy định về vấn đề gì?,vector,0
So sánh Luật nuôi con nuôi và luật quy định về vấn đề này như thế nào?,graph,1
Mối quan hệ giữa Điều 116 với Điều 63 là gì?,graph,1
Bên đó có trách nhiệm gì?,clarify,2
Bộ luật Dân sự 2015 quy định về vấn đề gì?,vector,0
Ai chịu trách nhiệm theo Điều 10?,vector,0
"Theo Bộ luật Dân sự 2015 và luật bảo vệ, quy định nào áp dụng?",graph,1
Luật HNGĐ năm 2000 được quy định như thế nào?,vector,0
Điều 133 liên quan đến luật bảo vệ ra sao?,graph,1
Bộ luật Dân sự 2015 có hiệu lực khi nào?,vector,0
Luật đó quy định như thế nào?,clarify,2
Người đó có bị xử phạt không?,clarify,2
So sánh Điều 104 và Điều 75,graph,1
luật không? được quy định như thế nào?,vector,0
Vấn đề đó giải quyết ra sao?,clarify,2
So sánh Luật hôn nhân và gia đình và Điều 5,graph,1
Điều 88 liên quan đến luật quy định những trường hợp nào thì hạn ch ra sao?,graph,1
Điều 104 có hiệu lực khi nào?,vector,0
Quy định tại Điều 31 nói gì?,vector,0
Điều 12 liên quan đến Điều 84 ra sao?,graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
Mối quan hệ giữa luật được quy định như thế nào? với luật về thừa kế là gì?,graph,1
Điều 73 có hiệu lực khi nào?,vector,0
Quy định có áp dụng không?,clarify,2
"Theo Điều 7 và Điều 51, quy định nào áp dụng?",graph,1
Điều đó có đúng không?,clarify,2
Luật Hôn nhân và Gia đình năm 2014 liên quan đến Điều 89 ra sao?,graph,1
"Theo Điều 82 và Luật Hôn nhân gia đình năm 2014, quy định nào áp dụng?",graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
luật về thừa kế được quy định như thế nào?,vector,0
"Căn cứ vào luật quy định vấn đề này như thế nào? và luật cấm kết hôn, kết luận gì?",graph,1
Nội dung Điều 73 là gì?,vector,0
Người đó có bị xử phạt không?,clarify,2
Bên đó có trách nhiệm gì?,clarify,2
Quy định tại luật bảo vệ theo quy định tại Điều 133 Bộ luậ nói gì?,vector,0
Mối quan hệ giữa Điều 76 với Điều 71 là gì?,graph,1
Điều đó có đúng không?,clarify,2
Cơ quan đó có thẩm quyền gì?,clarify,2
Luật hôn nhân và gia đình năm 2014 quy định n được quy định như thế nào?,vector,0
Luật hôn nhân và gia đình năm 2014 quy định n tham chiếu đến Luật HNGĐ năm 2000 như thế nào?,graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
Luật đó quy định như thế nào?,clarify,2
Mối quan hệ giữa Luật hôn nhân và gia đình năm 2014 với Điều 3 là gì?,graph,1
Điều 104 quy định về vấn đề gì?,vector,0
Ai chịu trách nhiệm theo luật thì sau khi ly hôn?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
luật nào để tôi có thể yêu cầu gia đình chồng quy định về vấn đề gì?,vector,0
Cho tôi biết về Điều 77,vector,0
Mối quan hệ giữa Điều 105 với luật quy định những trường hợp nào thì hạn ch là gì?,graph,1
Nội dung Luật Hôn nhân và gia đình là gì?,vector,0
Luật đó quy định như thế nào?,clarify,2
"Theo luật quy định vấn đề này như thế nào? và Điều 52, quy định nào áp dụng?",graph,1
Quy định có áp dụng không?,clarify,2
Cơ quan đó có thẩm quyền gì?,clarify,2
Quy định có áp dụng không?,clarify,2
Mối quan hệ giữa Điều 3 với Điều 25 là gì?,graph,1
Sự khác nhau giữa Luật Luật Hôn nhân và gia đình năm 2014 đã qu và luật giữa anh A và chị C?,graph,1
Điều đó có đúng không?,clarify,2
Quy định tại Điều 69 nói gì?,vector,0
Ai chịu trách nhiệm theo luật được quy định như thế nào??,vector,0
Người đó có bị xử phạt không?,clarify,2
Điều 82 được quy định như thế nào?,vector,0
"Theo Điều 52 và luật công nhận, quy định nào áp dụng?",graph,1
Điều 89 có hiệu lực khi nào?,vector,0
Luật đó quy định như thế nào?,clarify,2
Điều 104 có hiệu lực khi nào?,vector,0
luật quy định vấn đề này như thế nào? liên quan đến Điều 32 ra sao?,graph,1
Ai chịu trách nhiệm theo Điều 5?,vector,0
Sự khác nhau giữa Điều 51 và luật công nhận?,graph,1
Luật hôn nhân gia đình quy định về vấn đề gì?,vector,0
Điều 105 được quy định như thế nào?,vector,0
Người đó có bị xử phạt không?,clarify,2
Ông ấy có quyền gì?,clarify,2
So sánh Điều 7 và Điều 95,graph,1
Cho tôi biết về Luật hôn nhân gia đình,vector,0
"Căn cứ vào luật quy định như thế nào? và Điều 38, kết luận gì?",graph,1
So sánh Điều 75 và Điều 17,graph,1
Điều 74 có hiệu lực khi nào?,vector,0
Cơ quan đó có thẩm quyền gì?,clarify,2
Người đó có bị xử phạt không?,clarify,2
luật thì quan hệ hôn nhân được xác lập từ thờ liên quan đến Luật Hôn nhân và Gia đình năm 2014 ra sao?,graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
Ai chịu trách nhiệm theo Điều 69?,vector,0
Quy định tại Điều 32 nói gì?,vector,0
Luật đó quy định như thế nào?,clarify,2
Vấn đề đó giải quyết ra sao?,clarify,2
Điều 3 có hiệu lực khi nào?,vector,0
Luật đó quy định như thế nào?,clarify,2
Luật đó quy định như thế nào?,clarify,2
Điều 70 được quy định như thế nào?,vector,0
Mối quan hệ giữa luật không? với Điều 73 là gì?,graph,1
So sánh luật nếu một mình tôi yêu cầu ly hôn thì tòa  và Luật hôn nhân và gia đình năm 2014 quy định n,graph,1
Mối quan hệ giữa Điều 105 với Luật hôn nhân và gia đình năm 2014 là gì?,graph,1
Cho tôi biết về luật về thừa kế,vector,0
Bên đó có trách nhiệm gì?,clarify,2
Ai chịu trách nhiệm theo luật công nhận không??,vector,0
Họ phải làm gì?,clarify,2
"Căn cứ vào Điều 43 và luật bảo vệ theo quy định tại Điều 133 Bộ luậ, kết luận gì?",graph,1
Bên đó có trách nhiệm gì?,clarify,2
Họ phải làm gì?,clarify,2
So sánh Điều 43 và luật tố tụng dân sự,graph,1
luật thì không có giá trị pháp lý được quy định như thế nào?,vector,0
Điều 90 được quy định như thế nào?,vector,0
luật về tố tụng dân sự liên quan đến luật thì quan hệ hôn nhân được xác lập từ thờ ra sao?,graph,1
"Theo Điều 75 và Điều 29, quy định nào áp dụng?",graph,1
Ông ấy có quyền gì?,clarify,2
Mối quan hệ giữa Luật hôn nhân và gia đình với Điều 81 là gì?,graph,1
Vấn đề đó giải quyết ra sao?,clarify,2
Luật đó quy định như thế nào?,clarify,2
Người đó có bị xử phạt không?,clarify,2
Cơ quan đó có thẩm quyền gì?,clarify,2
Điều 56 có hiệu lực khi nào?,vector,0
"Theo Luật HNGĐ và luật công nhận và làm bằng chứng quan hệ cha , quy định nào áp dụng?",graph,1
Ông ấy có quyền gì?,clarify,2
Vấn đề đó giải quyết ra sao?,clarify,2
Người đó có bị xử phạt không?,clarify,2
Cho tôi biết về Điều 88,vector,0
Nội dung Điều 25 là gì?,vector,0
"Căn cứ vào Điều 4 và luật giữa anh A và chị C, kết luận gì?",graph,1
Cho tôi biết về Điều 74,vector,0
"Theo Luật Luật Hôn nhân và gia đình năm 2014 đã qu và Luật Thi hành tạm giữ, quy định nào áp dụng?",graph,1
Quy định tại Luật Hôn nhân và Gia đình nói gì?,vector,0
Cho tôi biết về Luật Cư trú 2006,vector,0
So sánh Điều 95 và Điều 84,graph,1
Điều 74 tham chiếu đến luật bảo vệ như thế nào?,graph,1
Cơ quan đó có thẩm quyền gì?,clarify,2
luật về thừa kế được quy định như thế nào?,vector,0
Nội dung Điều 4 là gì?,vector,0
Người đó có bị xử phạt không?,clarify,2
Vấn đề đó giải quyết ra sao?,clarify,2
Bên đó có trách nhiệm gì?,clarify,2
Người đó có bị xử phạt không?,clarify,2
Mối quan hệ giữa Điều 9 với Điều 133 là gì?,graph,1
Người đó có bị xử phạt không?,clarify,2
Sự khác nhau giữa Điều 77 và Điều 78?,graph,1
